Loading dataset...
Dropout 0.2
Inner Dropout 0.2
Inner Dropout 0.2
Initializing model...
Start training...
{'loss': 1973.0955, 'learning_rate': 0.00011868852459016394, 'epoch': 3.28}
{'loss': 1799.8883, 'learning_rate': 0.0002478688524590164, 'epoch': 6.56}
{'loss': 1652.6583, 'learning_rate': 0.00037836065573770497, 'epoch': 9.84}
{'loss': 1530.1975, 'learning_rate': 0.0005088524590163934, 'epoch': 13.11}
{'loss': 1499.5653, 'learning_rate': 0.00064, 'epoch': 16.39}
{'loss': 1447.1681, 'learning_rate': 0.0007711475409836067, 'epoch': 19.67}
{'loss': 1329.0995, 'learning_rate': 0.0009022950819672131, 'epoch': 22.95}
{'loss': 1215.9772, 'learning_rate': 0.0010334426229508195, 'epoch': 26.23}
{'loss': 1137.7537, 'learning_rate': 0.0011645901639344262, 'epoch': 29.51}
{'loss': 1096.9821, 'learning_rate': 0.0012957377049180327, 'epoch': 32.79}
{'eval_loss': 78952.71875, 'eval_kendalltau': 0.4343027926256938, 'eval_runtime': 38.1845, 'eval_samples_per_second': 3.431, 'eval_steps_per_second': 3.431, 'epoch': 32.79}
{'loss': 1038.3913, 'learning_rate': 0.0014268852459016395, 'epoch': 36.07}
{'loss': 1035.3666, 'learning_rate': 0.001558032786885246, 'epoch': 39.34}
{'loss': 1016.3065, 'learning_rate': 0.0016891803278688525, 'epoch': 42.62}
{'loss': 989.7587, 'learning_rate': 0.0018203278688524592, 'epoch': 45.9}
{'loss': 965.0568, 'learning_rate': 0.0019514754098360657, 'epoch': 49.18}
{'loss': 962.9384, 'learning_rate': 0.0020826229508196722, 'epoch': 52.46}
{'loss': 944.6892, 'learning_rate': 0.002213770491803279, 'epoch': 55.74}
{'loss': 942.6513, 'learning_rate': 0.0023449180327868853, 'epoch': 59.02}
{'loss': 926.5782, 'learning_rate': 0.002476065573770492, 'epoch': 62.3}
{'loss': 960.4795, 'learning_rate': 0.0026072131147540983, 'epoch': 65.57}
{'eval_loss': 80414.5, 'eval_kendalltau': 0.44238677378134156, 'eval_runtime': 32.4042, 'eval_samples_per_second': 4.043, 'eval_steps_per_second': 4.043, 'epoch': 65.57}
{'loss': 914.837, 'learning_rate': 0.0027383606557377046, 'epoch': 68.85}
{'loss': 896.5025, 'learning_rate': 0.0028695081967213113, 'epoch': 72.13}
{'loss': 934.4509, 'learning_rate': 0.003000655737704918, 'epoch': 75.41}
{'loss': 921.8627, 'learning_rate': 0.0031318032786885244, 'epoch': 78.69}
{'loss': 905.9844, 'learning_rate': 0.003262950819672131, 'epoch': 81.97}
{'loss': 912.4733, 'learning_rate': 0.003394098360655738, 'epoch': 85.25}
{'loss': 893.8016, 'learning_rate': 0.0035252459016393446, 'epoch': 88.52}
{'loss': 891.1378, 'learning_rate': 0.003656393442622951, 'epoch': 91.8}
{'loss': 866.8821, 'learning_rate': 0.0037875409836065576, 'epoch': 95.08}
{'loss': 845.4452, 'learning_rate': 0.003918688524590164, 'epoch': 98.36}
{'eval_loss': 83105.703125, 'eval_kendalltau': 0.4562439689071424, 'eval_runtime': 32.4926, 'eval_samples_per_second': 4.032, 'eval_steps_per_second': 4.032, 'epoch': 98.36}
{'loss': 895.8364, 'learning_rate': 0.003999981086079619, 'epoch': 101.64}
{'loss': 872.5688, 'learning_rate': 0.003999750561094106, 'epoch': 104.92}
{'loss': 864.4876, 'learning_rate': 0.0039992581055707625, 'epoch': 108.2}
{'loss': 859.651, 'learning_rate': 0.003998503784012201, 'epoch': 111.48}
{'loss': 861.3773, 'learning_rate': 0.003997487695220674, 'epoch': 114.75}
{'loss': 841.5331, 'learning_rate': 0.003996209972285118, 'epoch': 118.03}
{'loss': 842.5409, 'learning_rate': 0.003994670782563735, 'epoch': 121.31}
{'loss': 834.8856, 'learning_rate': 0.003992870327662066, 'epoch': 124.59}
{'loss': 822.8012, 'learning_rate': 0.003990808843406582, 'epoch': 127.87}
{'loss': 818.6827, 'learning_rate': 0.0039884865998138, 'epoch': 131.15}
