Loading dataset...
Dropout 0.2
Inner Dropout 0.2
Inner Dropout 0.2
Initializing model...
Start training...
{'loss': 1945.747, 'learning_rate': 0.00011737704918032787, 'epoch': 3.28}
{'loss': 1762.3886, 'learning_rate': 0.0002478688524590164, 'epoch': 6.56}
{'loss': 1689.5825, 'learning_rate': 0.00037836065573770497, 'epoch': 9.84}
{'loss': 1632.128, 'learning_rate': 0.0005095081967213114, 'epoch': 13.11}
{'loss': 1607.7633, 'learning_rate': 0.000640655737704918, 'epoch': 16.39}
{'loss': 1577.4752, 'learning_rate': 0.0007718032786885247, 'epoch': 19.67}
{'loss': 1525.1211, 'learning_rate': 0.0009029508196721312, 'epoch': 22.95}
{'loss': 1475.99, 'learning_rate': 0.0010340983606557377, 'epoch': 26.23}
{'loss': 1445.81, 'learning_rate': 0.0011652459016393442, 'epoch': 29.51}
{'loss': 1452.3552, 'learning_rate': 0.001296393442622951, 'epoch': 32.79}
{'eval_loss': 103584.2890625, 'eval_kendalltau': 0.32923265795790496, 'eval_runtime': 39.0832, 'eval_samples_per_second': 3.352, 'eval_steps_per_second': 3.352, 'epoch': 32.79}
{'loss': 1427.2703, 'learning_rate': 0.0014275409836065575, 'epoch': 36.07}
{'loss': 1434.2345, 'learning_rate': 0.0015586885245901638, 'epoch': 39.34}
{'loss': 1423.2103, 'learning_rate': 0.0016898360655737705, 'epoch': 42.62}
{'loss': 1425.0647, 'learning_rate': 0.001820983606557377, 'epoch': 45.9}
{'loss': 1397.8595, 'learning_rate': 0.0019521311475409837, 'epoch': 49.18}
{'loss': 1401.4259, 'learning_rate': 0.0020832786885245902, 'epoch': 52.46}
{'loss': 1361.9136, 'learning_rate': 0.002214426229508197, 'epoch': 55.74}
{'loss': 1354.4283, 'learning_rate': 0.0023455737704918033, 'epoch': 59.02}
{'loss': 1337.7786, 'learning_rate': 0.00247672131147541, 'epoch': 62.3}
{'loss': 1364.5178, 'learning_rate': 0.0026078688524590167, 'epoch': 65.57}
{'eval_loss': 83612.6875, 'eval_kendalltau': 0.4063503914988938, 'eval_runtime': 29.4806, 'eval_samples_per_second': 4.444, 'eval_steps_per_second': 4.444, 'epoch': 65.57}
{'loss': 1303.318, 'learning_rate': 0.002739016393442623, 'epoch': 68.85}
{'loss': 1300.2568, 'learning_rate': 0.0028701639344262298, 'epoch': 72.13}
{'loss': 1319.9186, 'learning_rate': 0.0030013114754098365, 'epoch': 75.41}
{'loss': 1310.9042, 'learning_rate': 0.0031324590163934424, 'epoch': 78.69}
{'loss': 1273.5704, 'learning_rate': 0.003263606557377049, 'epoch': 81.97}
{'loss': 1291.8197, 'learning_rate': 0.003394754098360656, 'epoch': 85.25}
{'loss': 1288.4827, 'learning_rate': 0.003525901639344262, 'epoch': 88.52}
